GWP100a;location
0.7964463336783754;CA-AB
0.8162255446770367;MU
1.2222366178158337;XK
0.3670080231954784;CA-NB
0.7345043720715505;TW
0.9451618240622217;CN-BJ
0.7882363635033225;US-PR
0.7375115988879539;IQ
0.4585270945583037;PK
0.447970854772829;NI
0.5731874204636921;MD
1.1942680850406784;CN-SD
0.5849008202158632;UZ
0.8758910639436965;US-HICC
0.0048528638432268545;CD
0.9150586520036283;GI
0.9839582506442811;CY
0.09731953583157835;MZ
1.075462901776549;CN-TJ
0.21554513773339956;BR-South-eastern grid
0.47640663081602397;US-TRE
0.23916868141922046;SV
0.6615959506877211;BD
0.6123313795976477;IN-North-eastern grid
0.5839454700719804;TZ
0.6598178776061079;CN-CSG
0.08103374521406663;CA-NF
0.4100899387656472;US-WECC
0.08110976199794886;TJ
0.03699078353308219;UY
0.6073858087666453;BY
0.6668593058488345;LY
1.2708588040818771;CN-LN
0.533988922321634;US-ASCC
0.4159970524269491;CI
0.41198382277922846;GT
0.39272135137272934;MT
0.5024268910209313;KH
0.6947082574980631;DO
0.31333715486429553;LV
0.8033122753530686;MK
0.8807246341784093;YE
0.9150586520036283;SS
0.2987000442024444;GB
0.4941108071473991;JO
1.0164890926012884;CN-HA
0.6769659923868699;BJ
0.17243257869508735;PA
1.02322742277242;CN-AH
0.7350837521193497;TG
0.8615625212594328;CN-SH
0.6822750825097231;KR
0.37560070347504687;PT
0.5079428173598308;MX
0.0667973152709634;FR
0.7848665523798738;CN-GZ
0.35367922527107903;BR-North-eastern grid
0.5360186757613381;VN
0.731862356960033;MA
1.1149985701267346;NE
0.5873098226705166;TT
0.057740837666032725;NORDEL
0.45124533764186936;NG
0.24429044165065067;MM
0.14961083585656898;BR-Northern grid
0.021509047259724662;NA
0.9107063362979244;ER
0.6624501215017802;JP
0.34627864905035965;SI
0.35140569385574255;GA
0.7700045559366586;CN-HN
1.361315915412696;CN-JL
0.30824756561555006;ES
0.791058567716979;MY
0.10370155134092945;GE
0.16530917502224787;KP
0.027730842950989626;SE
0.8687722704833318;CN-CQ
1.1672739690177278;IN-Southern grid
1.0536215696415527;ZA
1.0087414471876188;BW
0.6594171336866855;RU
0.38342907518417785;HU
0.8634960979662699;HK
0.12298397688090418;BR-Southern grid
0.38431001639701456;RO
0.30654461977302483;CN-QH
0.9270937417557442;CA-NS
0.29782575993151583;GH
1.021820646394165;CN-JS
0.06558585844411002;CA-ON
0.5192579278047501;BG
0.5240184415752139;US-SERC
0.5696370707953423;DE
0.1267853179242874;BR-Mid-western grid
0.5391622293293623;AZ
0.9487787827838601;SA
1.0916896824310889;CN-SA
1.3390838041407775;IN-Western grid
0.004458748137847161;NP
0.6157080858947714;CW
0.5828332323036044;BN
0.7306289864622411;HT
0.28618161826714755;CN-SC
0.7456975145872381;CN-GS
0.49551202608268013;UA
0.5728234925568639;OM
0.5728952209098841;DZ
0.20222551619200613;AO
0.5981683868891545;NL
0.5854755693583996;TR
0.0902530555285097;KG
1.06773674481007;IN-Northern grid
0.540328529737012;EG
0.8573763795704502;CU
0.6478715538770891;SY
0.5031375480397265;QA
0.01774466112163004;CH
0.8535002611012277;CZ
0.2388956904693828;CN-XZ
1.3055538325141256;CN-SX
0.00440103476959617;CG
0.015073846837980848;CA-QC
0.29593887118589;CA-NT
